id,communique,libelle_poste,libelle_emploi_rome,code_emploi_rome,numero,date_mis_en_ligne,libelle_collectivite,libelle_corps_grade,libelle_corps_grade_2,libelle_domaine,libelle_domaine_2,duree_residence_exigee,date_a_pourvoir,date_a_pourvoir_libelle,direction_libelle,direction_acronyme,service_libelle,lieu_travail,date_creation,date_cloture,presentation,emploi_resp,mission,activites_principales,activites_secondaires,conditions_particulieres,savoir,savoir_faire,comportements,commentaire_republication,contact,contact_telephone,contact_email,contact_secondaire,contact_secondaire_telephone,contact_secondaire_email,collectivite_nom_rh,collectivite_adresse_depot,collectivite_adresse_postale,collectivite_email,statut,nb_postes_a_pourvoir,a_pourvoir_autre,url_pdf,ville,direction_interne_acronyme,direction_interne,service_acronyme,service,disponible_immediatement
63734,0,Administrateur des pratiques métiers - section applications et pratiques métiers,HORS_ROME,,26-0690,2026-05-07,Office des postes et télécommunications,cadre d'exploitation,contrôleur,,,,,SUSCEPTIBLE_VACANT,Office des postes et télécommunications,OPT,,,2026-05-05 10:08:54+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/60e51e47713579732ce575c556125c7d/download/,Nouméa,DPSP,Direction de la Poste et des Services de Proximité,,,False
63927,0,Assistant commercial Pro et Revendeurs - Agence entreprises,HORS_ROME,,26-0641,2026-05-14,Office des postes et télécommunications,contrôleur,agent d'exploitation,,,,,SUSCEPTIBLE_VACANT,Office des postes et télécommunications,OPT,,,2026-05-13 12:54:20+11:00,2026-06-04,,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/ea72fc6a73c10516a38fb4283f05a728/download/,,DT,Direction des Télécommunications,,,False
63718,0,Chef(fe) de section expérience commerciale - Service expérience client,HORS_ROME,,26-0674,2026-05-07,Office des postes et télécommunications,cadre d'exploitation,,,,,,IMMEDIATEMENT,Office des postes et télécommunications,OPT,,,2026-05-05 09:37:31+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/72dc9702fec70e5de6ae91def4b6ca7d/download/,Nouméa,DPSP,Direction de la Poste et des Services de Proximité,,,True
63719,0,Directeur(trice) adjoint(e) relations clients - pôle opérationnel,HORS_ROME,,26-0675,2026-05-07,Office des postes et télécommunications,emploi fonctionnel,,,,,,IMMEDIATEMENT,Office des postes et télécommunications,OPT,,,2026-05-05 09:39:06+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/ea8867dc80a7731127d238eb603c6e81/download/,Nouméa,DPSP,Direction de la Poste et des Services de Proximité,,,True
63721,0,Chef(fe) de service expérience client - service expérience client,HORS_ROME,,26-0677,2026-05-07,Office des postes et télécommunications,cadre d'exploitation,,,,,,IMMEDIATEMENT,Office des postes et télécommunications,OPT,,,2026-05-05 09:41:44+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/b7d87ca4a8ed288bb9da1d14d9e31900/download/,Nouméa,DPSP,Direction de la Poste et des Services de Proximité,,,True
63765,0,Consultant fonctionnel - SMQP,HORS_ROME,,26-0703,2026-05-07,Office des postes et télécommunications,cadre technique,,,,,,IMMEDIATEMENT,Office des postes et télécommunications,OPT,,,2026-05-06 11:13:02+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/663c6ac3707193bffcfc786c3bd1dd1b/download/,Nouméa,DT,Direction des Télécommunications,SMQP,Service Management Qualité et Performance,True
63723,0,Assistant(e) Ressources Humaines études et projets -Section appui stratégique,HORS_ROME,,26-0679,2026-05-07,Office des postes et télécommunications,contrôleur,,,,,,SUSCEPTIBLE_VACANT,Office des postes et télécommunications,OPT,,,2026-05-05 09:45:32+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/1a28affa4ab4cce7e61bc586b48be681/download/,Nouméa,DPSP,Direction de la Poste et des Services de Proximité,,,False
63731,0,Chef(fe) de service support métiers,HORS_ROME,,26-0687,2026-05-07,Office des postes et télécommunications,cadre d'exploitation,,,,,,SUSCEPTIBLE_VACANT,Office des postes et télécommunications,OPT,,,2026-05-05 10:03:55+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/ae05306e02d1e2fc0aa99f1807ffb447/download/,Nouméa,DPSP,Direction de la Poste et des Services de Proximité,,,False
63722,0,Directeur(trice),HORS_ROME,,26-0678,2026-05-07,Office des postes et télécommunications,emploi fonctionnel,,,,,,SUSCEPTIBLE_VACANT,Office des postes et télécommunications,OPT,,,2026-05-05 09:43:22+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/84717a3117f23e088a30bf7045f280e8/download/,Nouméa,DPSP,Direction de la Poste et des Services de Proximité,,,False
63836,0,Responsable produit Télécoms - SMC,HORS_ROME,,26-0715,2026-05-07,Office des postes et télécommunications,cadre d'exploitation,,,,,,SUSCEPTIBLE_VACANT,Office des postes et télécommunications,OPT,,,2026-05-07 07:35:49+11:00,2026-05-28,,,,,,,,,,,,,,,,,,,,,PUBLIE,1,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/3fbd9fa9f786ac8d4a8b9d9676fba362/download/,Nouméa,DT,Direction des Télécommunications,SMC,Service Marketing et Communication,False
